food_code,name,category,energy_kcal,protein_g,fat_g,carb_g,fiber_g
G032,Poppy seeds (Papaver somniferum),Condiments and spices,422.56,20.31,30.38,12.37,26.68
G033,Turmeric powder (Curcuma domestica),Condiments and spices,280.59,7.66,5.03,49.22,21.38
H001,Almond (Prunus amygdalus),Nuts and oil seeds,609.23,18.41,58.49,3.04,13.06
H002,"Arecanut, dried, brown (Areca catechu)",Nuts and oil seeds,350.62,5.78,4.35,70.42,11.44
H003,"Arecanut, dried, red color (Areca catechu)",Nuts and oil seeds,353.01,6.46,4.46,70.27,11.11
H004,"Arecanut, fresh (Areca catechu)",Nuts and oil seeds,244.74,2.73,5.51,45,7.63
H005,Cashew nut (Anacardium occidentale),Nuts and oil seeds,582.7,18.78,45.2,25.46,3.86
H006,"Coconut, kernel, dry (Cocos nucifera)",Nuts and oil seeds,624.04,7.27,63.26,8.01,15.88
H007,"Coconut, kernel, fresh (Cocos nucifera)",Nuts and oil seeds,408.94,3.84,41.38,6.3,10.42
H008,"Garden cress, seeds (Lepidium sativum)",Nuts and oil seeds,445.27,23.36,23.74,33.66,8.27
H009,"Gingelly seeds, black (Sesamum indicum)",Nuts and oil seeds,507.65,19.17,43.1,10.29,17.16
H010,"Gingelly seeds, brown (Sesamum indicum)",Nuts and oil seeds,516.49,21.61,43.22,9.76,17.21
H011,"Gingelly seeds, white (Sesamum indicum)",Nuts and oil seeds,519.6,21.7,43.05,10.83,16.99
H012,Ground nut (Arachis hypogaea),Nuts and oil seeds,520.08,23.65,39.63,17.27,10.38
H013,Mustard seeds (Brassica nigra),Nuts and oil seeds,509.56,19.51,40.19,16.8,14.1
H014,Linseeds (Linum usitatissimum),Nuts and oil seeds,443.83,18.55,35.67,10.99,26.17
H015,"Niger seeds, black (Guizotia abyssinica)",Nuts and oil seeds,512.43,18.92,38.61,22.98,10.93
H016,"Niger seeds, gray (Guizotia abyssinica)",Nuts and oil seeds,508.6,18.34,39.53,20.59,10.96
H017,Pine seed (Pinus sp.),Nuts and oil seeds,594.17,12.55,48.79,26.77,3.79
H018,Pistachio nuts (Pistacia vera),Nuts and oil seeds,539.44,23.35,42.49,15.82,10.64
H019,Safflower seeds (Carthamus tinctorius),Nuts and oil seeds,473.47,17.66,30.87,30.18,13.49
H020,Sunflower seeds (Helianthus annuus),Nuts and oil seeds,586.28,23.53,51.85,6.85,10.8
H021,Walnut (Juglans regia),Nuts and oil seeds,671.37,14.92,64.27,10.14,5.39
I001,"Jaggery, cane (Saccharum officinarum)",Sugars,353.73,1.85,0.16,84.87,0
I002,"Sugarcane, juice (Saccharum officinarum)",Sugars,57.84,0.16,0.4,13.11,0.56
J001,"Button mushroom, fresh (Agaricus sp.)",Mushrooms,27.49,3.68,0.42,1.98,3.11
J002,"Chicken mushroom, fresh (Lactiporus sp.)",Mushrooms,21.27,1.84,0.25,2.76,1.99
J003,"Shiitake mushroom, fresh (Lentinula sp.)",Mushrooms,58.08,3.19,0.76,8.98,3.02
J004,"Oyster mushroom, dried (Pleurotus sp.)",Mushrooms,243.55,19.04,2.86,33.07,39.12
K001,Toddy (Borassus flabellifer),Miscellaneous foods,24.14,0.18,0.03,5.72,0
K002,Coconut Water (Cocos nucifera),Miscellaneous foods,15.3,0.26,0.16,3.16,0
L001,"Milk, whole, Buffalo",Milk and milk products,107.31,3.68,6.58,8.39,0
L002,"Milk, whole, Cow",Milk and milk products,72.9,3.26,4.48,4.94,0
L003,Paneer,Milk and milk products,305.45,18.86,24.78,2.41,0
L004,Khoa,Milk and milk products,315.97,16.34,20.62,16.53,0
M001,"Egg, poultry, whole, raw",Egg and egg products,134.8,13.28,9.15,0,0
M002,"Egg, poultry, white, raw",Egg and egg products,44.69,10.84,0.06,0,0
M003,"Egg, poultry, yolk, raw",Egg and egg products,296.85,15.74,26.34,0,0
M004,"Egg, poultry, whole, boiled",Egg and egg products,147.71,13.43,10.54,0,0
M005,"Egg, poultry, white, boiled",Egg and egg products,52.58,12.37,0.26,0,0
M006,"Egg, poultry, yolk, boiled",Egg and egg products,308.32,16.13,27.46,0,0
M007,"Egg, poultry, omlet",Egg and egg products,169.69,16.53,11.6,0,0
M008,"Egg, country hen, whole, raw",Egg and egg products,168.26,13.14,13,0,0
M009,"Egg, country hen, whole, boiled",Egg and egg products,183.32,14.43,14.1,0,0
M010,"Egg, country hen, omlet",Egg and egg products,204.35,14.8,16.3,0,0
M011,"Egg, duck, whole, boiled",Egg and egg products,176.39,13.8,13.61,0,0
M012,"Egg, duck, whole, raw",Egg and egg products,181.64,14.6,13.83,0,0
M013,"Egg, duck, whole, omlet",Egg and egg products,192.16,15.1,14.8,0,0
M014,"Egg, quial, whole, raw",Egg and egg products,151.77,12.39,11.46,0,0
M015,"Egg, quial, whole, boiled",Egg and egg products,154.64,13.03,11.5,0,0
N001,"Chicken, poultry, leg, skinless",Poultry,383.6,19.44,12.64,0,0
N002,"Chicken, poultry, thigh, skinless",Poultry,199.81,18.18,14.23,0,0
N003,"Chicken, poultry, breast, skinless",Poultry,168.26,21.81,9,0,0
N004,"Chicken, poultry, wing, skinless",Poultry,192.88,17.42,13.81,0,0
N005,"Poultry, chicken, liver",Poultry,123.8,21.57,4.08,0,0
N006,"Poultry, chicken, gizzard",Poultry,92.26,18.22,2.07,0,0
N007,"Country hen, leg, with skin",Poultry,172.8,17.01,11.73,0,0
N008,"Country hen, thigh, with skin",Poultry,187.62,18.29,12.82,0,0
N009,"Country hen, breast, with skin",Poultry,179.97,22.08,10.2,0,0
N010,"Country hen, wing, with skin",Poultry,182.6,18.65,12.09,0,0
N011,"Duck, meat, with skin",Poultry,130.74,19.07,6.03,0,0
N012,"Emu, meat, skinless",Poultry,132.89,22.65,4.62,0,0
N013,"Guinea fowl, meat, with skin",Poultry,112.09,20.52,3.24,0,0
N014,"Pigeon, meat, with skin",Poultry,126.2,17.94,6.03,0,0
N015,"Quail, meat, skinless",Poultry,137.67,20.92,5.95,0,0
N016,"Turkey, leg, with skin",Poultry,154.64,20.3,8.15,0,0
N017,"Turkey, thigh, with skin",Poultry,138.86,20.46,6.31,0,0
N018,"Turkey, breast, with skin",Poultry,160.37,21.96,8.04,0,0
N019,"Turkey, wing, with skin",Poultry,184.27,21.91,10.77,0,0
O001,"Goat, shoulder",Animal meat,188.1,20.33,11.94,0,0
O002,"Goat, chops",Animal meat,135.76,20.39,5.98,0,0
O003,"Goat, legs",Animal meat,159.89,22.07,7.94,0,0
O004,"Goat, brain",Animal meat,127.39,13.82,8.06,0,0
O005,"Goat, tongue",Animal meat,188.58,16.63,13.68,0,0
O006,"Goat, lungs",Animal meat,95.84,16.86,3.09,0,0
O007,"Goat, heart",Animal meat,117.59,19.38,4.4,0,0
O008,"Goat, liver",Animal meat,125.72,20.32,4.88,0,0
O009,"Goat, tripe",Animal meat,92.26,15.36,3.36,0,0
O010,"Goat, spleen",Animal meat,95.84,18.45,2.37,0,0
O011,"Goat, kidneys",Animal meat,89.39,15.6,2.93,0,0
O012,"Goat, tube (small intestine)",Animal meat,125.48,12.92,8.26,0,0
O013,"Goat, testis",Animal meat,71.22,12.32,2.39,0,0
O014,"Sheep, shoulder",Animal meat,200.76,18.24,14.31,0,0
O015,"Sheep, chops",Animal meat,118.55,18,5.15,0,0
O016,"Sheep, leg",Animal meat,163.96,21.42,8.69,0,0
O017,"Sheep, brain",Animal meat,117.59,13.05,7.29,0,0
O018,"Sheep, tongue",Animal meat,187.14,16.61,13.53,0,0
O019,"Sheep, lungs",Animal meat,86.76,16.12,2.41,0,0
O020,"Sheep, heart",Animal meat,106.36,18.19,3.66,0,0
O021,"Sheep, liver",Animal meat,133.6,22.26,4.87,0,0
O022,"Sheep, tripe",Animal meat,103.97,16.76,4.05,0,0
O023,"Sheep, spleen",Animal meat,91.78,16.02,3.02,0,0
O024,"Sheep, kidneys",Animal meat,91.78,16.22,2.92,0,0
O025,"Beef, shoulder",Animal meat,212.48,20.56,14.59,0,0
O026,"Beef, chops",Animal meat,139.82,19.82,6.71,0,0
O027,"Beef, round (leg)",Animal meat,157.27,22.64,7.38,0,0
O028,"Beef, brain",Animal meat,125,10.55,9.28,0,0
O029,"Beef, tongue",Animal meat,174.71,15.63,12.57,0,0
O030,"Beef, lungs",Animal meat,83.89,15.66,2.28,0,0
O031,"Beef, heart",Animal meat,103.49,17.68,3.57,0,0
O032,"Beef, liver",Animal meat,119.26,20.73,3.96,0,0
O033,"Beef, tripe",Animal meat,75.53,13.1,2.51,0,0
O034,"Beef, spleen",Animal meat,90.34,17.42,2.22,0,0
O035,"Beef, kidneys",Animal meat,104.92,17.09,4.01,0,0
O036,"Calf, shoulder",Animal meat,151.29,20.98,7.47,0,0
O037,"Calf, chops",Animal meat,125.24,22.47,3.85,0,0
O038,"Calf, round (leg)",Animal meat,146.99,21.1,6.92,0,0
O039,"Calf, brain",Animal meat,107.07,9.84,7.6,0,0
O040,"Calf, tongue",Animal meat,176.15,17.78,11.76,0,0
O041,"Calf, heart",Animal meat,109.7,18.84,3.75,0,0
O042,"Calf, liver",Animal meat,120.22,21.02,3.95,0,0
O043,"Calf, spleen",Animal meat,90.58,17.71,2.12,0,0
O044,"Calf, kidneys",Animal meat,92.5,15.16,3.5,0,0
O045,"Mithun, shoulder",Animal meat,175.91,19.05,11.14,0,0
O046,"Mithun, chops",Animal meat,128.11,18.19,6.12,0,0
O047,"Mithun, round (leg)",Animal meat,115.92,19.61,4.1,0,0
O048,"Pork, shoulder",Animal meat,237.33,17.41,18.83,0,0
O049,"Pork, chops",Animal meat,178.78,19.41,11.3,0,0
O050,"Pork, ham",Animal meat,240.44,18.83,18.55,0,0
O051,"Pork, lungs",Animal meat,85.56,15.13,2.74,0,0
O052,"Pork, heart",Animal meat,109.23,16.31,4.87,0,0
O053,"Pork, liver",Animal meat,115.68,19.89,3.94,0,0
O054,"Pork, stomach",Animal meat,131.45,15.36,7.81,0,0
O055,"Pork, spleen",Animal meat,85.33,15.13,2.71,0,0
O056,"Pork, kidneys",Animal meat,90.58,14.35,3.65,0,0
O057,"Pork, tube (small intestine)",Animal meat,140.3,14.96,8.98,0,0
O058,"Hare, shoulder",Animal meat,144.12,21.13,6.58,0,0
O059,"Hare, chops",Animal meat,106.36,20.62,2.55,0,0
O060,"Hare, leg",Animal meat,120.22,20.52,4.16,0,0
O061,"Rabbit, shoulder",Animal meat,151.77,20.01,7.96,0,0
O062,"Rabbit, chops",Animal meat,135.04,22.61,4.88,0,0
O063,"Rabbit, leg",Animal meat,139.58,21.31,5.99,0,0
P001,Allathi (Elops machnata),Marine fish,97.04,21.77,0.98,0,0
P002,Aluva (Parastromateus niger),Marine fish,103.73,21.63,1.8,0,0
P003,Anchovy (Stolephorus indicus),Marine fish,87.72,19.88,0.78,0,0
P004,Ari fish (Aprion virescens),Marine fish,99.19,22.01,1.11,0,0
P005,Betki (Lates calcarifer),Marine fish,67.88,15.28,0.29,0,0
P006,Black snapper (Macolor niger),Marine fish,90.11,19.5,1.24,0,0
P007,Bombay duck (Harpadon nehereus),Marine fish,68.59,13.53,1.03,0,0
P008,Bommuralu (Muraenesox cinerius),Marine fish,115.92,22.3,2.87,0,0
P009,Cat fish (Tachysurus thalassinus),Marine fish,108.99,22.18,2.13,0,0
P010,Chakla (Rachycentron canadum),Marine fish,97.04,20.21,1.68,0,0
P011,Chappal (Aluterus monoceros),Marine fish,75.76,17.17,0.67,0,0
P012,Chelu (Elagatis bipinnulata),Marine fish,87.48,20.02,0.7,0,0
P013,Chembali (Lutjanus quinquelineatus),Marine fish,97.04,20.06,1.77,0,0
P014,Eri meen (Pristipomoides filamentosus),Marine fish,108.51,22.3,2.02,0,0
P015,Gobro (Epinephelus diacanthus),Marine fish,86.52,19.37,0.88,0,0
P016,Guitar fish (Rhinobatus prahli),Marine fish,95.6,22.56,0.44,0,0
P017,Hilsa (Tenualosa ilisha),Marine fish,258.84,21.8,18.49,0,0
P018,Jallal (Arius sp.),Marine fish,100.38,21.55,1.46,0,0
P019,Jathi vela meen (Lethrinus lentjan),Marine fish,108.27,22.45,1.92,0,0
P020,Kadal bral (Synodus indicus),Marine fish,87.95,18.72,1.34,0,0
P021,Kadali (Nemipterus mesoprion),Marine fish,126.67,22.07,4.2,0,0
P022,Kalamaara (Leptomelanosoma indicum),Marine fish,125,20.89,4.54,0,0
P023,Kalava (Epinephelus coioides),Marine fish,89.39,19.38,1.2,0,0
P024,Kanamayya (Lutjanus rivulatus),Marine fish,87.72,20.19,0.65,0,0
P025,Kannadi paarai (Alectis indicus),Marine fish,101.1,22.09,1.27,0,0
P026,Karimeen (Etroplus suratensis),Marine fish,92.26,19.68,1.38,0,0
P027,Karnagawala (Anchoa hepsetus),Marine fish,86.76,19.52,0.84,0,0
P028,Kayrai (Thunnus albacores),Marine fish,108.51,20.15,3,0,0
P029,Kiriyan (Atule mate),Marine fish,132.89,22.49,4.7,0,0
P030,Kite fish (Mobula kuhlii),Marine fish,98.71,23.07,0.56,0,0
P031,Korka (Terapon jarbua),Marine fish,126.2,23.72,3.36,0,0
P032,Kulam paarai (Carangoides fulvoguttatus),Marine fish,119.74,21.62,3.6,0,0
P033,Maagaa (Polynemus plebeius),Marine fish,87.48,20.11,0.67,0,0
P034,Mackerel (Rastrelliger kanagurta),Marine fish,101.1,21.51,1.53,0,0
P035,Manda clathi (Naso reticulatus),Marine fish,95.12,21.27,1,0,0
P036,Matha (Acanthurus mata),Marine fish,92.97,21.17,0.79,0,0
P037,Milk fish (Chanos chanos),Marine fish,105.64,23.66,1.09,0,0
P038,Moon fish (Mene maculata),Marine fish,125.72,20.74,4.69,0,0
P039,Mullet (Mugil cephalus),Marine fish,93.93,20.23,1.32,0,0
P040,Mural (Tylosurus crocodilus),Marine fish,82.46,19.04,0.58,0,0
P041,Myil meen (Istiophorus platypterus),Marine fish,97.99,22.89,0.56,0,0
P042,Nalla bontha (Epinephelus sp.),Marine fish,87,19.82,0.72,0,0
P043,Narba (Caranx sexfasciatus),Marine fish,103.25,21.95,1.6,0,0
P044,Paarai (Caranx heberi),Marine fish,103.97,21.58,1.84,0,0
P045,Padayappa (Canthidermis maculata),Marine fish,86.04,19.7,0.69,0,0
P046,Pali kora (Panna microdon),Marine fish,94.17,19.25,1.81,0,0
P047,Pambada (Lepturacanthus savala),Marine fish,128.35,21.95,4.44,0,0
P048,Pandukopa (Pseudosciaena manchurica),Marine fish,86.04,19.73,0.65,0,0
P049,Parava (Lactarius lactarius),Marine fish,111.62,21.5,2.74,0,0
P050,Parcus (Psettodes erumei),Marine fish,86.28,19.87,0.62,0,0
P051,Parrot fish (Scarus ghobban),Marine fish,89.63,20.82,0.57,0,0
P052,Perinkilichai (Pinjalo pinjalo),Marine fish,92.5,20.89,0.87,0,0
P053,Phopat (Coryphaena hippurus),Marine fish,101.34,22.05,1.33,0,0
P054,Piranha (Pygopritis sp.),Marine fish,131.21,20.46,5.43,0,0
P055,"Pomfret, black (Parastromateus niger)",Marine fish,123.09,18.91,4.83,0,0
P056,"Pomfret, snub nose (Trachinotus blochii)",Marine fish,89.63,21.05,0.46,0,0
P057,"Pomfret, white (Pampus argenteus)",Marine fish,122.61,19.02,5.12,0,0
P058,Pranel (Gerres sp.),Marine fish,96.8,19.69,1.89,0,0
P059,Pulli paarai (Gnathanodon speciosus),Marine fish,95.36,20.06,1.55,0,0
P060,Queen fish (Scomberoides commersonianus),Marine fish,95.6,20.97,1.17,0,0
P061,Raai fish (Lobotes surinamensis),Marine fish,102.77,21.61,1.69,0,0
P062,Raai vanthu (Epinephelus chlorostigma),Marine fish,97.99,19.39,2.17,0,0
P063,Rani (Pink perch),Marine fish,90.11,18.83,1.49,0,0
P064,"Ray fish, bow head, spotted (Rhina",Marine fish,83.41,19.03,0.7,0,0
P065,Red snapper (Lutjanus argentimaculatus),Marine fish,104.45,22.79,1.34,0,0
P066,"Red snapper, small (Priacanthus hamrur)",Marine fish,107.79,21.5,2.3,0,0
P067,Sadaya (Platax orbicularis),Marine fish,110.42,20.68,2.97,0,0
P068,Salmon (Salmo salar),Marine fish,172.32,20.97,9.86,0,0
P069,Sangada (Nemipterus japanicus),Marine fish,105.88,20.26,2.67,0,0
P070,Sankata paarai (Caranx ignobilis),Marine fish,103.73,21.87,1.68,0,0
P071,Sardine (Sardinella longiceps),Marine fish,152.25,17.91,8.99,0,0
P072,Shark (Carcharhinus sorrah),Marine fish,95.12,21.6,0.83,0,0
P073,"Shark, hammer head (Sphyrna mokarran)",Marine fish,103.25,23.4,0.8,0,0
P074,"Shark, spotted (Stegostoma fasciatum)",Marine fish,91.78,20.95,0.75,0,0
P075,Shelavu (Sphyraena jello),Marine fish,106.6,22.46,1.74,0,0
P076,Silan (Silonia silondia),Marine fish,151.29,22.72,6.68,0,0
P077,Silk fish (Beryx sp.),Marine fish,97.51,20.65,1.53,0,0
P078,Silver carp (Hypophthalmichthys molitrix),Marine fish,132.65,21.71,5.17,0,0
P079,Sole fish (Cynoglossus arel),Marine fish,87.72,19.05,1.18,0,0
P080,Stingray (Dasyatis pastinaca),Marine fish,97.51,23.98,0.68,0,0
P081,Tarlava (Drepane punctata),Marine fish,98.95,21.72,1.2,0,0
P082,Tholam (Plectorhinchus schotaf),Marine fish,103.25,20.78,2.13,0,0
P083,Tilapia (Oreochromis niloticus),Marine fish,83.41,18.48,1.08,0,0
P084,Tuna (Euthynnus affinis),Marine fish,112.33,24.5,1.44,0,0
P085,"Tuna, striped (Katsuwonus pelamis)",Marine fish,96.32,21.28,1.12,0,0
P086,Valava (Chirocentrus nudus),Marine fish,97.99,21.8,1.06,0,0
P087,Vanjaram (Scomberomorus commerson),Marine fish,136.23,22.28,5.18,0,0
P088,Vela meen (Aprion virescens),Marine fish,128.35,22.16,4.34,0,0
P089,Vora (Siganus javus),Marine fish,100.86,20.14,2.14,0,0
P090,Whale shark (Galeocerdo cuvier),Marine fish,95.84,21.83,0.82,0,0
P091,Xiphinis (Xiphias gladius),Marine fish,88.43,19.82,0.88,0,0
P092,"Eggs, Cat fish (Ompok bimaculatus) Z.",Marine fish,143.4,24.68,5.28,0,0
Q001,Crab (Menippe mercenaria),Marine shellfish,81.98,10.23,1.41,0,0
Q002,"Crab, sea (Portunus sanguinolentus)",Marine shellfish,67.64,15.36,0.6,0,0
Q003,"Lobster, brown (Thenus orientalis)",Marine shellfish,69.79,15.96,0.56,0,0
Q004,"Lobster, king size (Thenus orientalis)",Marine shellfish,89.63,18.54,0.78,0,0
Q005,Mud crab (Scylla tranquebarica),Marine shellfish,45.41,10,0.55,0,0
Q006,Oyster (Crassostrea sp.),Marine shellfish,60.23,9.51,2.44,0,0
Q007,"Tiger prawns, brown (Solenocera crassicornis)",Marine shellfish,65.25,14.85,0.56,0,0
Q008,"Tiger Prawns, orange (Penaeus monodon)",Marine shellfish,64.53,14.25,0.74,0,0
R001,"Clam, green shell (Perna viridis)",Marine mollusks,58.08,12.14,0.98,0,0
R002,"Clam, white shell, ribbed (Meretrix meretrix)",Marine mollusks,59.75,11.82,1.34,0,0
R003,Octopus (Octopus vulgaris),Marine mollusks,79.83,14.71,1.12,0,0
R004,"Squid, black (Loligo sp.)",Marine mollusks,80.07,16.1,1.07,0,0
R005,"Squid, hard shell (Sepia pharaonis)",Marine mollusks,76.48,16.82,0.93,0,0
R006,"Squid, red (Loligo duvaucelii)",Marine mollusks,78.63,16.25,1.44,0,0
R007,"Squid, white, small (Uroteuthis duvauceli)",Marine mollusks,84.37,17.41,1.15,0,0
S001,Cat fish (Tandanus tandanus),Freshwater fish and shellfish,123.8,15.86,6.24,0,0
S002,Catla (Catla catla),Freshwater fish and shellfish,94.17,17.94,2.15,0,0
S003,Freshwater Eel (Anguilla anguilla),Freshwater fish and shellfish,107.79,20.41,2.63,0,0
S004,Gold fish (Carassius auratus),Freshwater fish and shellfish,94.65,16.91,2.94,0,0
S005,Pangas (Pangasianodon hypophthalmus),Freshwater fish and shellfish,203.63,17.12,16.77,0,0
S006,Rohu (Labeo rohita),Freshwater fish and shellfish,102.29,19.71,2.39,0,0
S007,Crab (Pachygrapsus sp.),Freshwater fish and shellfish,78.15,13.23,0.89,0,0
S008,"Prawns, big (Macrobrachium rosenbergii)",Freshwater fish and shellfish,90.82,19.24,0.52,0,0
S009,"Prawns, small (Macrobrachium sp.)",Freshwater fish and shellfish,70.98,13.07,0.78,0,0
S010,Tiger prawns (Macrobrachium sp.),Freshwater fish and shellfish,67.88,14.24,0.66,0,0
